API_Gravity_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
47.4,3.2925,0.13829
47.5,3.2907,0.13821
47.6,3.2888,0.13813
47.7,3.287,0.13805
47.8,3.2852,0.13798
47.9,3.2833,0.1379
48.0,3.2815,0.13782
48.1,3.2797,0.13775
48.2,3.2778,0.13767
48.3,3.276,0.13759
48.4,3.2742,0.13752
48.5,3.2724,0.13744
48.6,3.2705,0.13736
48.7,3.2687,0.13729
48.8,3.2669,0.13721
48.9,3.2651,0.13713
49.0,3.2633,0.13706
49.1,3.2615,0.13698
49.2,3.2597,0.13691
49.3,3.2579,0.13683
49.4,3.2561,0.13675
49.5,3.2543,0.13668
49.6,3.2525,0.1366
49.7,3.2507,0.13653
49.8,3.2489,0.13645
49.9,3.2471,0.13638
50.0,3.2453,0.1363
50.1,3.2435,0.13623
50.2,3.2417,0.13615
50.3,3.2399,0.13608
50.4,3.2381,0.136
50.5,3.2363,0.13593
50.6,3.2346,0.13585
50.7,3.2328,0.13578
50.8,3.231,0.1357
50.9,3.2292,0.13563
51.0,3.2275,0.13555
51.1,3.2257,0.13548
51.2,3.2239,0.1354
51.3,3.2222,0.13533
51.4,3.2204,0.13526
51.5,3.2186,0.13518
51.6,3.2169,0.13511
51.7,3.2151,0.13503
51.8,3.2134,0.13496
51.9,3.2116,0.13489
52.0,3.2099,0.13481
52.1,3.2081,0.13474
52.2,3.2063,0.13467
52.3,3.2046,0.13459
52.4,3.2029,0.13452
52.5,3.2011,0.13445
52.6,3.1994,0.13437
52.7,3.1976,0.1343
52.8,3.1959,0.13423
52.9,3.1942,0.13415
53.0,3.1924,0.13408
53.1,3.1907,0.13401
53.2,3.189,0.13394
53.3,3.1872,0.13386
53.4,3.1855,0.13379
53.5,3.1838,0.13372
53.6,3.1821,0.13365
53.7,3.1803,0.13357
53.8,3.1786,0.1335
53.9,3.1769,0.13343
54.0,3.1752,0.13336
54.1,3.1735,0.13329
54.2,3.1718,0.13321
54.3,3.1701,0.13314
54.4,3.1683,0.13307
54.5,3.1666,0.133
54.6,3.1649,0.13293
54.7,3.1632,0.13286
54.8,3.1615,0.13278
54.9,3.1598,0.13271
55.0,3.1581,0.13264
55.1,3.1564,0.13257
55.2,3.1547,0.1325
55.3,3.1531,0.13243
