Tonnes_per_Barrel_60F,API_Gravity_60F
0.13376,36.3
0.13384,36.2
0.13392,36.1
0.134,36.0
0.13408,35.9
0.13416,35.8
0.13424,35.7
0.13432,35.6
0.1344,35.5
0.13448,35.4
0.13457,35.3
0.13465,35.2
0.13473,35.1
0.13481,35.0
0.13489,34.9
0.13497,34.8
0.13505,34.7
0.13513,34.6
0.13521,34.5
0.1353,34.4
0.13538,34.3
0.13546,34.2
0.13554,34.1
0.13562,34.0
0.13571,33.9
0.13579,33.8
0.13587,33.7
0.13595,33.6
0.13604,33.5
0.13612,33.4
0.1362,33.3
0.13628,33.2
0.13637,33.1
0.13645,33.0
0.13653,32.9
0.13662,32.8
0.1367,32.7
0.13678,32.6
0.13687,32.5
0.13695,32.4
0.13703,32.3
0.13712,32.2
0.1372,32.1
0.13728,32.0
0.13737,31.9
0.13745,31.8
0.13754,31.7
0.13762,31.6
0.13771,31.5
0.13779,31.4
0.13788,31.3
0.13796,31.2
0.13805,31.1
0.13813,31.0
0.13822,30.9
0.1383,30.8
0.13839,30.7
0.13847,30.6
0.13856,30.5
0.13864,30.4
0.13873,30.3
0.13882,30.2
0.1389,30.1
0.13899,30.0
0.13907,29.9
0.13916,29.8
0.13925,29.7
0.13933,29.6
0.13942,29.5
0.13951,29.4
0.13959,29.3
0.13968,29.2
0.13977,29.1
0.13985,29.0
0.13994,28.9
0.14003,28.8
0.14012,28.7
0.1402,28.6
0.14029,28.5
0.14038,28.4
0.14047,28.3
0.14056,28.2
0.14064,28.1
0.14073,28.0
0.14082,27.9
0.14091,27.8
0.141,27.7
0.14109,27.6
0.14118,27.5
0.14126,27.4
0.14135,27.3
0.14144,27.2
0.14153,27.1
0.14162,27.0
0.14171,26.9
0.1418,26.8
0.14189,26.7
0.14198,26.6
0.14207,26.5
0.14216,26.4
0.14225,26.3
0.14234,26.2
0.14243,26.1
0.14252,26.0
0.14261,25.9
0.1427,25.8
0.14279,25.7
0.14289,25.6
0.14298,25.5
0.14307,25.4
0.14316,25.3
0.14325,25.2
0.14334,25.1
0.14343,25.0
0.14353,24.9
0.14362,24.8
0.14371,24.7
0.1438,24.6
0.14389,24.5
0.14399,24.4
0.14408,24.3
0.14417,24.2
0.14426,24.1
0.14436,24.0
0.14445,23.9
0.14454,23.8
0.14464,23.7
0.14473,23.6
0.14482,23.5
0.14492,23.4
0.14501,23.3
0.14511,23.2
0.1452,23.1
0.14529,23.0
0.14539,22.9
0.14548,22.8
0.14558,22.7
0.14567,22.6
0.14577,22.5
0.14586,22.4
0.14596,22.3
0.14605,22.2
0.14615,22.1
0.14624,22.0
0.14634,21.9
0.14643,21.8
0.14653,21.7
0.14662,21.6
0.14672,21.5
0.14682,21.4
0.14691,21.3
0.14701,21.2
0.1471,21.1
0.1472,21.0
0.1473,20.9
0.1474,20.8
0.14749,20.7
0.14759,20.6
0.14769,20.5
0.14778,20.4
0.14788,20.3
0.14798,20.2
0.14808,20.1
0.14817,20.0
0.14827,19.9
0.14837,19.8
0.14847,19.7
0.14857,19.6
0.14867,19.5
0.14876,19.4
0.14886,19.3
0.14896,19.2
0.14906,19.1
0.14916,19.0
0.14926,18.9
0.14936,18.8
0.14946,18.7
0.14956,18.6
0.14966,18.5
0.14976,18.4
0.14986,18.3
0.14996,18.2
0.15006,18.1
0.15016,18.0
0.15026,17.9
0.15036,17.8
0.15046,17.7
0.15056,17.6
0.15066,17.5
0.15077,17.4
0.15087,17.3
0.15097,17.2
0.15107,17.1
0.15117,17.0
0.15127,16.9
0.15138,16.8
0.15148,16.7
0.15158,16.6
0.15168,16.5
0.15179,16.4
0.15189,16.3
0.15199,16.2
0.15209,16.1
0.1522,16.0
0.1523,15.9
0.1524,15.8
0.15251,15.7
0.15261,15.6
0.15272,15.5
0.15282,15.4
0.15292,15.3
0.15303,15.2
0.15313,15.1
0.15324,15.0
0.15334,14.9
0.15345,14.8
0.15355,14.7
0.15366,14.6
0.15376,14.5
0.15387,14.4
0.15397,14.3
0.15408,14.2
0.15419,14.1
0.15429,14.0
0.1544,13.9
0.15451,13.8
0.15461,13.7
0.15472,13.6
0.15483,13.5
0.15493,13.4
0.15504,13.3
0.15515,13.2
0.15525,13.1
0.15536,13.0
0.15547,12.9
0.15558,12.8
0.15569,12.7
0.15579,12.6
0.1559,12.5
0.15601,12.4
0.15612,12.3
0.15623,12.2
0.15634,12.1
0.15645,12.0
0.15655,11.9
0.15666,11.8
0.15677,11.7
0.15688,11.6
0.15699,11.5
0.1571,11.4
0.15721,11.3
0.15732,11.2
0.15743,11.1
0.15754,11.0
0.15766,10.9
0.15777,10.8
0.15788,10.7
0.15799,10.6
0.1581,10.5
0.15821,10.4
0.15832,10.3
0.15844,10.2
0.15855,10.1
0.15866,10.0
0.15877,9.9
0.15888,9.8
0.159,9.7
0.15911,9.6
0.15922,9.5
0.15934,9.4
0.15945,9.3
0.15956,9.2
0.15968,9.1
0.15979,9.0
0.1599,8.9
0.16002,8.8
0.16013,8.7
0.16025,8.6
0.16036,8.5
0.16048,8.4
0.16059,8.3
0.16071,8.2
0.16082,8.1
0.16094,8.0
0.16105,7.9
0.16117,7.8
0.16128,7.7
0.1614,7.6
0.16152,7.5
0.16163,7.4
0.16175,7.3
0.16187,7.2
0.16198,7.1
0.1621,7.0
0.16222,6.9
0.16234,6.8
0.16245,6.7
0.16257,6.6
0.16269,6.5
0.16281,6.4
0.16293,6.3
0.16304,6.2
0.16316,6.1
0.16328,6.0
0.1634,5.9
0.16352,5.8
0.16364,5.7
0.16376,5.6
0.16388,5.5
0.164,5.4
0.16412,5.3
0.16424,5.2
0.16436,5.1
0.16448,5.0
0.1646,4.9
0.16472,4.8
0.16484,4.7
0.16496,4.6
0.16508,4.5
0.16521,4.4
0.16533,4.3
0.16545,4.2
0.16557,4.1
0.16569,4.0
0.16582,3.9
0.16594,3.8
0.16606,3.7
0.16618,3.6
0.16631,3.5
0.16643,3.4
0.16656,3.3
0.16668,3.2
0.1668,3.1
0.16693,3.0
0.16705,2.9
0.16718,2.8
0.1673,2.7
0.16743,2.6
0.16755,2.5
0.16768,2.4
0.1678,2.3
0.16793,2.2
0.16805,2.1
0.16818,2.0
0.16831,1.9
0.16843,1.8
0.16856,1.7
0.16869,1.6
0.16881,1.5
0.16894,1.4
0.16907,1.3
0.16919,1.2
0.16932,1.1
0.16945,1.0
0.16958,0.9
0.16971,0.8
0.16983,0.7
0.16996,0.6
0.17009,0.5
0.17022,0.4
0.17035,0.3
0.17048,0.2
0.17061,0.1
0.17074,0.0
