Density_15C_kg_per_m3,Short_Tons_per_CubicMeter,Long_Tons_per_CubicMeter
1048,1.1541,1.0304
1049,1.1552,1.0314
1050,1.1563,1.0324
1051,1.1574,1.0334
1052,1.1585,1.0343
1053,1.1596,1.0353
1054,1.1607,1.0363
1055,1.1618,1.0373
1056,1.1629,1.0383
1057,1.164,1.0393
1058,1.1651,1.0402
1059,1.1662,1.0412
1060,1.1673,1.0422
1061,1.1684,1.0432
1062,1.1695,1.0442
1063,1.1706,1.0452
1064,1.1717,1.0462
1065,1.1728,1.0471
1066,1.1739,1.0481
1067,1.175,1.0491
1068,1.1761,1.0501
1069,1.1772,1.0511
1070,1.1783,1.0521
1071,1.1794,1.053
1072,1.1805,1.054
1073,1.1816,1.055
1074,1.1827,1.056
1075,1.1838,1.057
