API_Gravity_60F,Tonnes_per_1000_US_Gallons_60F,Tonnes_per_Barrel_60F
72.1,2.624,0.11021
72.2,2.6227,0.11015
72.3,2.6214,0.1101
72.4,2.6201,0.11005
72.5,2.6188,0.10999
72.6,2.6176,0.10994
72.7,2.6163,0.10988
72.8,2.615,0.10983
72.9,2.6137,0.10978
73.0,2.6124,0.10972
73.1,2.6112,0.10967
73.2,2.6099,0.10961
73.3,2.6086,0.10956
73.4,2.6073,0.10951
73.5,2.606,0.10945
73.6,2.6048,0.1094
73.7,2.6035,0.10935
73.8,2.6022,0.10929
73.9,2.601,0.10924
74.0,2.5997,0.10919
74.1,2.5984,0.10913
74.2,2.5972,0.10908
74.3,2.5959,0.10903
74.4,2.5946,0.10897
74.5,2.5934,0.10892
74.6,2.5921,0.10887
74.7,2.5909,0.10882
74.8,2.5896,0.10876
74.9,2.5883,0.10871
75.0,2.5871,0.10866
75.1,2.5858,0.1086
75.2,2.5846,0.10855
75.3,2.5833,0.1085
75.4,2.5821,0.10845
75.5,2.5808,0.10839
75.6,2.5796,0.10834
75.7,2.5783,0.10829
75.8,2.5771,0.10824
75.9,2.5758,0.10819
76.0,2.5746,0.10813
76.1,2.5734,0.10808
76.2,2.5721,0.10803
76.3,2.5709,0.10798
76.4,2.5696,0.10792
76.5,2.5684,0.10787
76.6,2.5672,0.10782
76.7,2.5659,0.10777
76.8,2.5647,0.10772
76.9,2.5635,0.10767
77.0,2.5622,0.10761
77.1,2.561,0.10756
77.2,2.5598,0.10751
77.3,2.5585,0.10746
77.4,2.5573,0.10741
77.5,2.5561,0.10736
77.6,2.5549,0.1073
77.7,2.5536,0.10725
77.8,2.5524,0.1072
77.9,2.5512,0.10715
78.0,2.55,0.1071
78.1,2.5488,0.10705
78.2,2.5475,0.107
78.3,2.5463,0.10695
78.4,2.5451,0.10689
78.5,2.5439,0.10684
78.6,2.5427,0.10679
78.7,2.5415,0.10674
78.8,2.5403,0.10669
78.9,2.539,0.10664
79.0,2.5378,0.10659
79.1,2.5366,0.10654
79.2,2.5354,0.10649
79.3,2.5342,0.10644
79.4,2.533,0.10639
79.5,2.5318,0.10634
79.6,2.5306,0.10629
79.7,2.5294,0.10624
79.8,2.5282,0.10618
79.9,2.527,0.10613
80.0,2.5258,0.10608
80.1,2.5246,0.10603
80.2,2.5234,0.10598
80.3,2.5222,0.10593
80.4,2.521,0.10588
80.5,2.5198,0.10583
80.6,2.5187,0.10578
80.7,2.5175,0.10573
80.8,2.5163,0.10568
80.9,2.5151,0.10563
81.0,2.5139,0.10558
81.1,2.5127,0.10553
81.2,2.5115,0.10548
81.3,2.5104,0.10543
81.4,2.5092,0.10539
81.5,2.508,0.10534
81.6,2.5068,0.10529
81.7,2.5056,0.10524
81.8,2.5045,0.10519
81.9,2.5033,0.10514
82.0,2.5021,0.10509
82.1,2.5009,0.10504
82.2,2.4998,0.10499
82.3,2.4986,0.10494
82.4,2.4974,0.10489
82.5,2.4963,0.10484
82.6,2.4951,0.10479
82.7,2.4939,0.10474
82.8,2.4928,0.1047
82.9,2.4916,0.10465
83.0,2.4904,0.1046
83.1,2.4893,0.10455
83.2,2.4881,0.1045
83.3,2.4869,0.10445
83.4,2.4858,0.1044
83.5,2.4846,0.10435
83.6,2.4835,0.10431
83.7,2.4823,0.10426
83.8,2.4812,0.10421
83.9,2.48,0.10416
84.0,2.4788,0.10411
84.1,2.4777,0.10406
84.2,2.4765,0.10401
84.3,2.4754,0.10397
84.4,2.4742,0.10392
84.5,2.4731,0.10387
84.6,2.472,0.10382
84.7,2.4708,0.10377
84.8,2.4697,0.10373
84.9,2.4685,0.10368
85.0,2.4674,0.10363
