Relative_Density_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
1.045,4.3517,0.18277
1.046,4.3559,0.18295
1.047,4.3601,0.18312
1.048,4.3642,0.1833
1.049,4.3684,0.18347
1.05,4.3726,0.18365
1.051,4.3767,0.18382
1.052,4.3809,0.184
1.053,4.3851,0.18417
1.054,4.3892,0.18435
1.055,4.3934,0.18452
1.056,4.3976,0.1847
1.057,4.4017,0.18487
1.058,4.4059,0.18505
1.059,4.4101,0.18522
1.06,4.4143,0.1854
1.061,4.4184,0.18557
1.062,4.4226,0.18575
1.063,4.4268,0.18592
1.064,4.4309,0.1861
1.065,4.4351,0.18627
1.066,4.4393,0.18645
1.067,4.4434,0.18662
1.068,4.4476,0.1868
1.069,4.4518,0.18697
1.07,4.4559,0.18715
1.071,4.4601,0.18732
1.072,4.4643,0.1875
1.073,4.4685,0.18768
1.074,4.4726,0.18785
1.075,4.4768,0.18803
