api_gravity_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
31.9,7.211,0.13868
32.0,7.206,0.13877
32.1,7.202,0.13885
32.2,7.197,0.13894
32.3,7.193,0.13902
32.4,7.189,0.13911
32.5,7.184,0.13919
32.6,7.18,0.13928
32.7,7.175,0.13936
32.8,7.171,0.13945
32.9,7.167,0.13953
33.0,7.162,0.13962
33.1,7.158,0.1397
33.2,7.154,0.13979
33.3,7.149,0.13987
33.4,7.145,0.13996
33.5,7.141,0.14004
33.6,7.136,0.14013
33.7,7.132,0.14021
33.8,7.128,0.1403
33.9,7.123,0.14038
34.0,7.119,0.14047
34.1,7.115,0.14055
34.2,7.11,0.14064
34.3,7.106,0.14072
34.4,7.102,0.14081
34.5,7.098,0.14089
34.6,7.093,0.14098
34.7,7.089,0.14106
34.8,7.085,0.14115
34.9,7.08,0.14123
35.0,7.076,0.14132
35.1,7.072,0.1414
35.2,7.068,0.14149
35.3,7.063,0.14157
35.4,7.059,0.14166
35.5,7.055,0.14174
35.6,7.051,0.14183
35.7,7.047,0.14191
35.8,7.042,0.142
35.9,7.038,0.14208
36.0,7.034,0.14217
36.1,7.03,0.14225
36.2,7.025,0.14234
36.3,7.021,0.14242
36.4,7.017,0.14251
36.5,7.013,0.14259
36.6,7.009,0.14268
36.7,7.005,0.14276
36.8,7.0,0.14285
36.9,6.996,0.14293
37.0,6.992,0.14302
37.1,6.988,0.1431
37.2,6.984,0.14319
37.3,6.98,0.14327
37.4,6.976,0.14336
37.5,6.971,0.14344
37.6,6.967,0.14353
37.7,6.963,0.14361
37.8,6.959,0.1437
37.9,6.955,0.14378
38.0,6.951,0.14387
38.1,6.947,0.14395
38.2,6.943,0.14404
38.3,6.938,0.14412
38.4,6.934,0.14421
38.5,6.93,0.14429
38.6,6.926,0.14438
38.7,6.922,0.14446
38.8,6.918,0.14455
38.9,6.914,0.14463
39.0,6.91,0.14472
39.1,6.906,0.1448
39.2,6.902,0.14489
39.3,6.898,0.14497
39.4,6.894,0.14506
39.5,6.89,0.14514
39.6,6.886,0.14523
39.7,6.882,0.14531
39.8,6.878,0.1454
39.9,6.874,0.14548
40.0,6.87,0.14557
40.1,6.866,0.14565
40.2,6.862,0.14574
40.3,6.858,0.14582
40.4,6.854,0.14591
40.5,6.85,0.14599
40.6,6.846,0.14608
40.7,6.842,0.14616
40.8,6.838,0.14625
40.9,6.834,0.14633
41.0,6.83,0.14642
41.1,6.826,0.1465
41.2,6.822,0.14659
41.3,6.818,0.14667
41.4,6.814,0.14676
41.5,6.81,0.14684
41.6,6.806,0.14693
41.7,6.802,0.14701
41.8,6.798,0.1471
41.9,6.794,0.14718
42.0,6.79,0.14727
42.1,6.786,0.14735
42.2,6.782,0.14744
42.3,6.779,0.14752
42.4,6.775,0.14761
42.5,6.771,0.14769
42.6,6.767,0.14778
42.7,6.763,0.14786
42.8,6.759,0.14795
42.9,6.755,0.14803
43.0,6.751,0.14812
43.1,6.747,0.1482
43.2,6.744,0.14829
43.3,6.74,0.14837
43.4,6.736,0.14846
43.5,6.732,0.14854
43.6,6.728,0.14863
43.7,6.724,0.14871
43.8,6.72,0.1488
43.9,6.717,0.14888
44.0,6.713,0.14897
44.1,6.709,0.14905
44.2,6.705,0.14914
44.3,6.701,0.14922
44.4,6.698,0.14931
44.5,6.694,0.14939
44.6,6.69,0.14948
44.7,6.686,0.14956
44.8,6.682,0.14965
44.9,6.678,0.14973
45.0,6.675,0.14982
45.1,6.671,0.1499
45.2,6.667,0.14999
45.3,6.663,0.15007
45.4,6.66,0.15016
45.5,6.656,0.15024
45.6,6.652,0.15033
45.7,6.648,0.15041
45.8,6.645,0.1505
45.9,6.641,0.15058
46.0,6.637,0.15067
46.1,6.633,0.15075
46.2,6.63,0.15084
46.3,6.626,0.15092
46.4,6.622,0.15101
46.5,6.618,0.15109
46.6,6.615,0.15118
46.7,6.611,0.15126
46.8,6.607,0.15135
46.9,6.604,0.15143
47.0,6.6,0.15152
47.1,6.596,0.1516
47.2,6.592,0.15169
47.3,6.589,0.15177
47.4,6.585,0.15186
47.5,6.581,0.15194
47.6,6.578,0.15203
47.7,6.574,0.15211
