api_gravity_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
39.7,325.5,7.75
39.8,325.69,7.755
39.9,325.88,7.759
40.0,326.07,7.764
40.1,326.26,7.768
40.2,326.45,7.773
40.3,326.65,7.777
40.4,326.84,7.782
40.5,327.03,7.786
40.6,327.22,7.791
40.7,327.41,7.795
40.8,327.6,7.8
40.9,327.79,7.804
41.0,327.98,7.809
41.1,328.17,7.814
41.2,328.36,7.818
41.3,328.55,7.823
41.4,328.74,7.827
41.5,328.93,7.832
41.6,329.12,7.836
41.7,329.31,7.841
41.8,329.5,7.845
41.9,329.69,7.85
42.0,329.88,7.854
42.1,330.07,7.859
42.2,330.26,7.863
42.3,330.45,7.868
42.4,330.64,7.872
42.5,330.83,7.877
42.6,331.02,7.882
42.7,331.22,7.886
42.8,331.41,7.891
42.9,331.6,7.895
43.0,331.79,7.9
43.1,331.98,7.904
43.2,332.17,7.909
43.3,332.36,7.913
43.4,332.55,7.918
43.5,332.74,7.922
43.6,332.93,7.927
43.7,333.12,7.931
43.8,333.31,7.936
43.9,333.5,7.94
44.0,333.69,7.945
44.1,333.88,7.95
44.2,334.07,7.954
44.3,334.26,7.959
44.4,334.45,7.963
44.5,334.64,7.968
44.6,334.83,7.972
44.7,335.02,7.977
44.8,335.21,7.981
44.9,335.4,7.986
45.0,335.6,7.99
45.1,335.79,7.995
45.2,335.98,7.999
45.3,336.17,8.004
45.4,336.36,8.008
45.5,336.55,8.013
45.6,336.74,8.018
45.7,336.93,8.022
45.8,337.12,8.027
45.9,337.31,8.031
46.0,337.5,8.036
46.1,337.69,8.04
46.2,337.88,8.045
46.3,338.07,8.049
46.4,338.26,8.054
46.5,338.45,8.058
46.6,338.64,8.063
46.7,338.83,8.067
46.8,339.02,8.072
46.9,339.21,8.077
47.0,339.4,8.081
47.1,339.59,8.086
47.2,339.78,8.09
47.3,339.98,8.095
47.4,340.17,8.099
47.5,340.36,8.104
47.6,340.55,8.108
47.7,340.74,8.113
47.8,340.93,8.117
47.9,341.12,8.122
48.0,341.31,8.126
48.1,341.5,8.131
48.2,341.69,8.135
48.3,341.88,8.14
48.4,342.07,8.145
48.5,342.26,8.149
48.6,342.45,8.154
48.7,342.64,8.158
48.8,342.83,8.163
48.9,343.02,8.167
49.0,343.21,8.172
49.1,343.4,8.176
49.2,343.59,8.181
49.3,343.78,8.185
49.4,343.97,8.19
49.5,344.16,8.194
49.6,344.36,8.199
49.7,344.55,8.203
49.8,344.74,8.208
49.9,344.93,8.213
50.0,345.12,8.217
50.1,345.31,8.222
50.2,345.5,8.226
50.3,345.69,8.231
50.4,345.88,8.235
50.5,346.07,8.24
50.6,346.26,8.244
50.7,346.45,8.249
50.8,346.64,8.253
50.9,346.83,8.258
51.0,347.02,8.262
51.1,347.21,8.267
51.2,347.4,8.271
51.3,347.59,8.276
51.4,347.78,8.281
51.5,347.97,8.285
51.6,348.16,8.29
51.7,348.35,8.294
51.8,348.55,8.299
51.9,348.74,8.303
52.0,348.93,8.308
52.1,349.12,8.312
52.2,349.31,8.317
52.3,349.5,8.321
52.4,349.69,8.326
52.5,349.88,8.33
52.6,350.07,8.335
52.7,350.26,8.34
52.8,350.45,8.344
52.9,350.64,8.349
53.0,350.83,8.353
53.1,351.02,8.358
53.2,351.21,8.362
53.3,351.4,8.367
53.4,351.59,8.371
53.5,351.78,8.376
53.6,351.97,8.38
53.7,352.16,8.385
53.8,352.35,8.389
53.9,352.54,8.394
54.0,352.74,8.398
54.1,352.93,8.403
54.2,353.12,8.408
54.3,353.31,8.412
54.4,353.5,8.417
54.5,353.69,8.421
54.6,353.88,8.426
54.7,354.07,8.43
54.8,354.26,8.435
54.9,354.45,8.439
55.0,354.64,8.444
55.1,354.83,8.448
55.2,355.02,8.453
55.3,355.21,8.457
55.4,355.4,8.462
55.5,355.59,8.466
55.6,355.78,8.471
55.7,355.97,8.476
55.8,356.16,8.48
55.9,356.35,8.485
56.0,356.54,8.489
56.1,356.73,8.494
56.2,356.93,8.498
56.3,357.12,8.503
56.4,357.31,8.507
56.5,357.5,8.512
56.6,357.69,8.516
56.7,357.88,8.521
56.8,358.07,8.525
56.9,358.26,8.53
57.0,358.45,8.534
57.1,358.64,8.539
57.2,358.83,8.544
57.3,359.02,8.548
57.4,359.21,8.553
57.5,359.4,8.557
57.6,359.59,8.562
57.7,359.78,8.566
57.8,359.97,8.571
57.9,360.16,8.575
58.0,360.35,8.58
58.1,360.54,8.584
58.2,360.73,8.589
58.3,360.93,8.593
58.4,361.12,8.598
58.5,361.31,8.603
58.6,361.5,8.607
58.7,361.69,8.612
58.8,361.88,8.616
58.9,362.07,8.621
59.0,362.26,8.625
59.1,362.45,8.63
59.2,362.64,8.634
59.3,362.83,8.639
59.4,363.02,8.643
59.5,363.21,8.648
59.6,363.4,8.652
59.7,363.59,8.657
59.8,363.78,8.661
59.9,363.97,8.666
60.0,364.16,8.671
60.1,364.35,8.675
60.2,364.54,8.68
60.3,364.73,8.684
60.4,364.93,8.689
60.5,365.12,8.693
60.6,365.31,8.698
60.7,365.5,8.702
60.8,365.69,8.707
60.9,365.88,8.711
61.0,366.07,8.716
61.1,366.26,8.72
61.2,366.45,8.725
61.3,366.64,8.73
61.4,366.83,8.734
61.5,367.02,8.739
61.6,367.21,8.743
61.7,367.4,8.748
61.8,367.59,8.752
61.9,367.78,8.757
62.0,367.97,8.761
62.1,368.16,8.766
62.2,368.35,8.77
62.3,368.54,8.775
62.4,368.73,8.779
62.5,368.93,8.784
62.6,369.12,8.788
62.7,369.31,8.793
62.8,369.5,8.798
62.9,369.69,8.802
63.0,369.88,8.807
63.1,370.07,8.811
63.2,370.26,8.816
63.3,370.45,8.82
63.4,370.64,8.825
63.5,370.83,8.829
63.6,371.02,8.834
63.7,371.21,8.838
63.8,371.4,8.843
63.9,371.59,8.847
64.0,371.78,8.852
64.1,371.97,8.856
64.2,372.16,8.861
64.3,372.35,8.866
64.4,372.54,8.87
64.5,372.73,8.875
64.6,372.93,8.879
64.7,373.12,8.884
64.8,373.31,8.888
64.9,373.5,8.893
65.0,373.69,8.897
65.1,373.88,8.902
65.2,374.07,8.906
65.3,374.26,8.911
65.4,374.45,8.915
65.5,374.64,8.92
65.6,374.83,8.925
65.7,375.02,8.929
65.8,375.21,8.934
65.9,375.4,8.938
66.0,375.59,8.943
66.1,375.78,8.947
66.2,375.97,8.952
66.3,376.16,8.956
66.4,376.35,8.961
66.5,376.54,8.965
66.6,376.74,8.97
66.7,376.93,8.974
66.8,377.12,8.979
66.9,377.31,8.983
67.0,377.5,8.988
67.1,377.69,8.993
67.2,377.88,8.997
67.3,378.07,9.002
67.4,378.26,9.006
67.5,378.45,9.011
67.6,378.64,9.015
67.7,378.83,9.02
67.8,379.02,9.024
67.9,379.21,9.029
68.0,379.4,9.033
68.1,379.59,9.038
68.2,379.78,9.042
68.3,379.97,9.047
68.4,380.16,9.052
68.5,380.35,9.056
68.6,380.55,9.061
68.7,380.74,9.065
68.8,380.93,9.07
68.9,381.12,9.074
69.0,381.31,9.079
69.1,381.5,9.083
69.2,381.69,9.088
