relative_density_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
1.047,8.7201,0.11468
1.048,8.7285,0.11457
1.049,8.7368,0.11446
1.05,8.7451,0.11435
1.051,8.7535,0.11424
1.052,8.7618,0.11413
1.053,8.7701,0.11402
1.054,8.7785,0.11391
1.055,8.7868,0.11381
1.056,8.7952,0.1137
1.057,8.8035,0.11359
1.058,8.8118,0.11348
1.059,8.8202,0.11338
1.06,8.8285,0.11327
1.061,8.8368,0.11316
1.062,8.8452,0.11306
1.063,8.8535,0.11295
1.064,8.8619,0.11284
1.065,8.8702,0.11274
1.066,8.8785,0.11263
1.067,8.8869,0.11253
1.068,8.8952,0.11242
1.069,8.9036,0.11231
1.07,8.9119,0.11221
1.071,8.9202,0.1121
1.072,8.9286,0.112
1.073,8.9369,0.1119
1.074,8.9452,0.11179
1.075,8.9536,0.11169
