api_gravity_60f,us_gallons_per_short_ton_60f,barrels_per_short_ton_60f
75.1,350.83,8.353
75.2,351.0,8.357
75.3,351.17,8.361
75.4,351.34,8.365
75.5,351.51,8.369
75.6,351.68,8.373
75.7,351.85,8.377
75.8,352.02,8.381
75.9,352.19,8.385
76.0,352.36,8.39
76.1,352.53,8.394
76.2,352.7,8.398
76.3,352.87,8.402
76.4,353.04,8.406
76.5,353.21,8.41
76.6,353.38,8.414
76.7,353.55,8.418
76.8,353.72,8.422
76.9,353.89,8.426
77.0,354.06,8.43
77.1,354.23,8.434
77.2,354.4,8.438
77.3,354.57,8.442
77.4,354.74,8.446
77.5,354.91,8.45
77.6,355.08,8.454
77.7,355.25,8.458
77.8,355.42,8.462
77.9,355.59,8.466
78.0,355.76,8.471
78.1,355.93,8.475
78.2,356.1,8.479
78.3,356.27,8.483
78.4,356.44,8.487
78.5,356.61,8.491
78.6,356.78,8.495
78.7,356.95,8.499
78.8,357.12,8.503
78.9,357.29,8.507
79.0,357.46,8.511
79.1,357.63,8.515
79.2,357.8,8.519
79.3,357.97,8.523
79.4,358.14,8.527
79.5,358.31,8.531
79.6,358.48,8.535
79.7,358.65,8.539
79.8,358.83,8.543
79.9,359.0,8.548
80.0,359.17,8.552
80.1,359.34,8.556
80.2,359.51,8.56
80.3,359.68,8.564
80.4,359.85,8.568
80.5,360.02,8.572
80.6,360.19,8.576
80.7,360.36,8.58
80.8,360.53,8.584
80.9,360.7,8.588
81.0,360.87,8.592
81.1,361.04,8.596
81.2,361.21,8.6
81.3,361.38,8.604
81.4,361.55,8.608
81.5,361.72,8.612
81.6,361.89,8.616
81.7,362.06,8.62
81.8,362.23,8.624
81.9,362.4,8.629
82.0,362.57,8.633
82.1,362.74,8.637
82.2,362.91,8.641
82.3,363.08,8.645
82.4,363.25,8.649
82.5,363.42,8.653
82.6,363.59,8.657
82.7,363.76,8.661
82.8,363.93,8.665
82.9,364.1,8.669
83.0,364.27,8.673
83.1,364.44,8.677
83.2,364.61,8.681
83.3,364.78,8.685
83.4,364.95,8.689
83.5,365.12,8.693
83.6,365.29,8.697
83.7,365.46,8.701
83.8,365.63,8.705
83.9,365.8,8.71
84.0,365.97,8.714
84.1,366.14,8.718
84.2,366.31,8.722
84.3,366.48,8.726
84.4,366.65,8.73
84.5,366.82,8.734
84.6,366.99,8.738
84.7,367.16,8.742
84.8,367.33,8.746
84.9,367.5,8.75
85.0,367.67,8.754
