api_gravity_60f,long_tons_per_1000_us_gallons_60f,long_tons_per_barrel_60f
44.9,2.9815,0.12522
45.0,2.9798,0.12515
45.1,2.9781,0.12508
45.2,2.9764,0.12501
45.3,2.9747,0.12494
45.4,2.973,0.12487
45.5,2.9714,0.1248
45.6,2.9697,0.12473
45.7,2.968,0.12466
45.8,2.9663,0.12459
45.9,2.9646,0.12451
46.0,2.963,0.12444
46.1,2.9613,0.12437
46.2,2.9596,0.1243
46.3,2.958,0.12423
46.4,2.9563,0.12416
46.5,2.9546,0.12409
46.6,2.953,0.12402
46.7,2.9513,0.12396
46.8,2.9497,0.12389
46.9,2.948,0.12382
47.0,2.9463,0.12375
47.1,2.9447,0.12368
47.2,2.943,0.12361
47.3,2.9414,0.12354
47.4,2.9397,0.12347
47.5,2.9381,0.1234
47.6,2.9365,0.12333
47.7,2.9348,0.12326
47.8,2.9332,0.12319
47.9,2.9315,0.12312
48.0,2.9299,0.12306
48.1,2.9283,0.12299
48.2,2.9266,0.12292
48.3,2.925,0.12285
48.4,2.9234,0.12278
48.5,2.9218,0.12271
48.6,2.9201,0.12265
48.7,2.9185,0.12258
48.8,2.9169,0.12251
48.9,2.9153,0.12244
49.0,2.9136,0.12237
49.1,2.912,0.12231
49.2,2.9104,0.12224
49.3,2.9088,0.12217
49.4,2.9072,0.1221
49.5,2.9056,0.12203
49.6,2.904,0.12197
49.7,2.9024,0.1219
49.8,2.9008,0.12183
49.9,2.8992,0.12177
50.0,2.8976,0.1217
50.1,2.896,0.12163
50.2,2.8944,0.12156
50.3,2.8928,0.1215
50.4,2.8912,0.12143
50.5,2.8896,0.12136
50.6,2.888,0.1213
50.7,2.8864,0.12123
50.8,2.8848,0.12116
50.9,2.8832,0.1211
51.0,2.8817,0.12103
51.1,2.8801,0.12096
51.2,2.8785,0.1209
51.3,2.8769,0.12083
51.4,2.8754,0.12076
51.5,2.8738,0.1207
51.6,2.8722,0.12063
51.7,2.8706,0.12057
51.8,2.8691,0.1205
51.9,2.8675,0.12044
52.0,2.8659,0.12037
52.1,2.8644,0.1203
52.2,2.8628,0.12024
52.3,2.8613,0.12017
52.4,2.8597,0.12011
52.5,2.8581,0.12004
52.6,2.8566,0.11998
52.7,2.855,0.11991
52.8,2.8535,0.11985
52.9,2.8519,0.11978
53.0,2.8504,0.11972
53.1,2.8488,0.11965
53.2,2.8473,0.11959
53.3,2.8457,0.11952
53.4,2.8442,0.11946
53.5,2.8427,0.11939
53.6,2.8411,0.11933
53.7,2.8396,0.11926
53.8,2.8381,0.1192
53.9,2.8365,0.11913
54.0,2.835,0.11907
54.1,2.8335,0.11901
54.2,2.8319,0.11894
54.3,2.8304,0.11888
54.4,2.8289,0.11881
54.5,2.8274,0.11875
54.6,2.8258,0.11869
54.7,2.8243,0.11862
54.8,2.8228,0.11856
54.9,2.8213,0.11849
55.0,2.8198,0.11843
55.1,2.8183,0.11837
55.2,2.8167,0.1183
55.3,2.8152,0.11824
55.4,2.8137,0.11818
55.5,2.8122,0.11811
55.6,2.8107,0.11805
55.7,2.8092,0.11799
55.8,2.8077,0.11792
55.9,2.8062,0.11786
56.0,2.8047,0.1178
56.1,2.8032,0.11773
56.2,2.8017,0.11767
56.3,2.8002,0.11761
56.4,2.7987,0.11755
56.5,2.7972,0.11748
56.6,2.7957,0.11742
56.7,2.7943,0.11736
56.8,2.7928,0.1173
56.9,2.7913,0.11723
57.0,2.7898,0.11717
57.1,2.7883,0.11711
57.2,2.7868,0.11705
57.3,2.7854,0.11699
57.4,2.7839,0.11692
57.5,2.7824,0.11686
57.6,2.7809,0.1168
57.7,2.7795,0.11674
57.8,2.778,0.11668
57.9,2.7765,0.11661
58.0,2.7751,0.11655
58.1,2.7736,0.11649
58.2,2.7721,0.11643
58.3,2.7707,0.11637
58.4,2.7692,0.11631
58.5,2.7677,0.11624
