api_gravity_60f,cubic_meters_per_short_ton_15c,cubic_meters_per_long_ton_15c
67.6,1.2788,1.4323
67.7,1.2795,1.433
67.8,1.2801,1.4337
67.9,1.2807,1.4344
68.0,1.2814,1.4352
68.1,1.282,1.4359
68.2,1.2827,1.4366
68.3,1.2833,1.4373
68.4,1.284,1.438
68.5,1.2846,1.4387
68.6,1.2852,1.4395
68.7,1.2859,1.4402
68.8,1.2865,1.4409
68.9,1.2872,1.4416
69.0,1.2878,1.4423
69.1,1.2885,1.4431
69.2,1.2891,1.4438
69.3,1.2897,1.4445
69.4,1.2904,1.4452
69.5,1.291,1.4459
69.6,1.2917,1.4467
69.7,1.2923,1.4474
69.8,1.293,1.4481
69.9,1.2936,1.4488
70.0,1.2942,1.4495
70.1,1.2949,1.4503
70.2,1.2955,1.451
70.3,1.2962,1.4517
70.4,1.2968,1.4524
70.5,1.2975,1.4531
70.6,1.2981,1.4539
70.7,1.2987,1.4546
70.8,1.2994,1.4553
70.9,1.3,1.456
71.0,1.3007,1.4567
71.1,1.3013,1.4575
71.2,1.302,1.4582
71.3,1.3026,1.4589
71.4,1.3032,1.4596
71.5,1.3039,1.4603
71.6,1.3045,1.4611
71.7,1.3052,1.4618
71.8,1.3058,1.4625
71.9,1.3064,1.4632
72.0,1.3071,1.4639
72.1,1.3077,1.4647
72.2,1.3084,1.4654
72.3,1.309,1.4661
72.4,1.3097,1.4668
72.5,1.3103,1.4675
72.6,1.3109,1.4683
72.7,1.3116,1.469
72.8,1.3122,1.4697
72.9,1.3129,1.4704
73.0,1.3135,1.4711
73.1,1.3142,1.4719
73.2,1.3148,1.4726
73.3,1.3154,1.4733
73.4,1.3161,1.474
73.5,1.3167,1.4747
73.6,1.3174,1.4755
73.7,1.318,1.4762
73.8,1.3187,1.4769
73.9,1.3193,1.4776
74.0,1.3199,1.4783
74.1,1.3205,1.4791
74.2,1.3212,1.4798
74.3,1.3219,1.4805
74.4,1.3225,1.4812
74.5,1.3232,1.4819
74.6,1.3238,1.4827
74.7,1.3244,1.4834
74.8,1.3251,1.4841
74.9,1.3257,1.4848
75.0,1.3264,1.4855
75.1,1.327,1.4863
75.2,1.3277,1.487
75.3,1.3283,1.4877
75.4,1.3289,1.4884
75.5,1.3296,1.4891
75.6,1.3302,1.4899
75.7,1.3309,1.4906
75.8,1.3315,1.4913
75.9,1.3322,1.492
76.0,1.3328,1.4927
76.1,1.3334,1.4935
76.2,1.3341,1.4942
76.3,1.3347,1.4949
76.4,1.3354,1.4956
76.5,1.336,1.4963
76.6,1.3367,1.4971
76.7,1.3373,1.4978
76.8,1.3379,1.4985
76.9,1.3386,1.4992
77.0,1.3392,1.4999
77.1,1.3399,1.5007
77.2,1.3405,1.5014
77.3,1.3412,1.5021
77.4,1.3418,1.5028
77.5,1.3424,1.5035
77.6,1.3431,1.5043
77.7,1.3437,1.505
77.8,1.3444,1.5057
77.9,1.345,1.5064
78.0,1.3457,1.5071
78.1,1.3463,1.5079
78.2,1.3469,1.5086
78.3,1.3476,1.5093
78.4,1.3482,1.51
78.5,1.3489,1.5107
78.6,1.3495,1.5115
78.7,1.3502,1.5122
78.8,1.3508,1.5129
78.9,1.3514,1.5136
79.0,1.3521,1.5143
79.1,1.3527,1.5151
79.2,1.3534,1.5158
79.3,1.354,1.5165
79.4,1.3547,1.5172
79.5,1.3553,1.5179
79.6,1.3559,1.5186
79.7,1.3566,1.5194
79.8,1.3572,1.5201
79.9,1.3579,1.5208
80.0,1.3585,1.5215
80.1,1.3592,1.5222
80.2,1.3598,1.523
80.3,1.3604,1.5237
80.4,1.3611,1.5244
80.5,1.3617,1.5251
80.6,1.3624,1.5258
80.7,1.363,1.5266
80.8,1.3636,1.5273
80.9,1.3643,1.528
81.0,1.3649,1.5287
81.1,1.3656,1.5294
81.2,1.3662,1.5302
81.3,1.3669,1.5309
81.4,1.3675,1.5316
81.5,1.3681,1.5323
81.6,1.3688,1.533
81.7,1.3694,1.5338
81.8,1.3701,1.5345
81.9,1.3707,1.5352
82.0,1.3714,1.5359
82.1,1.372,1.5366
82.2,1.3726,1.5374
82.3,1.3733,1.5381
82.4,1.3739,1.5388
82.5,1.3746,1.5395
82.6,1.3752,1.5402
82.7,1.3759,1.541
82.8,1.3765,1.5417
82.9,1.3771,1.5424
83.0,1.3778,1.5431
83.1,1.3784,1.5438
83.2,1.3791,1.5446
83.3,1.3797,1.5453
83.4,1.3804,1.546
83.5,1.381,1.5467
83.6,1.3816,1.5474
83.7,1.3823,1.5482
83.8,1.3829,1.5489
83.9,1.3836,1.5496
84.0,1.3842,1.5503
84.1,1.3849,1.551
84.2,1.3855,1.5518
84.3,1.3861,1.5525
84.4,1.3868,1.5532
84.5,1.3874,1.5539
84.6,1.3881,1.5546
84.7,1.3887,1.5554
84.8,1.3894,1.5561
84.9,1.39,1.5568
85.0,1.3906,1.5575
