relative_density_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
1.04,258.61,6.157
1.041,258.36,6.151
1.042,258.11,6.146
1.043,257.86,6.14
1.044,257.62,6.134
1.045,257.37,6.128
1.046,257.12,6.122
1.047,256.88,6.116
1.048,256.63,6.11
1.049,256.39,6.104
1.05,256.14,6.099
1.051,255.9,6.093
1.052,255.66,6.087
1.053,255.41,6.081
1.054,255.17,6.075
1.055,254.93,6.07
1.056,254.69,6.064
1.057,254.44,6.058
1.058,254.2,6.052
1.059,253.96,6.047
1.06,253.72,6.041
1.061,253.48,6.035
1.062,253.25,6.03
1.063,253.01,6.024
1.064,252.77,6.018
1.065,252.53,6.013
1.066,252.29,6.007
1.067,252.06,6.001
1.068,251.82,5.996
1.069,251.58,5.99
1.07,251.35,5.985
1.071,251.11,5.979
1.072,250.88,5.973
1.073,250.65,5.968
1.074,250.41,5.962
1.075,250.18,5.957
